회사명,직무명,상세정보
㈜하이미디어아카데미,[전액무료IT개발자취업생모집]JAVA개발자/풀스택개발자/AI서비스개발자,신입·경력학력무관연수생/교육생강원D-11
인천공항운영서비스,인천공항운영서비스(주) (2024-4) 직원 채용,신입·경력학력무관정규직인천 중구D-5
어린이재단,[초록우산 어린이재단]모금 및 복지 분야 신입ㆍ경력직원 대규모 채용 공고,신입·경력학력무관정규직서울D-8
㈜비바리퍼블리카,토스 Data Analytics Engineer Challenge,신입·경력학력무관정규직서울 강남구D-13
㈜하이,(주) 하이 - 데이터 사이언티스트 (리드),경력7년↑대졸↑정규직서울 종로구D-24
㈜아시아경제,IT프로그래밍 교육강사 모집(파이썬기반 데이터분석/서비스기획/프로젝트실습),경력대졸↑프리랜서서울 중구상시채용
㈜아파트너스,(주)아파트너스 서비스 기획자 채용,경력학력무관정규직광주 동구D-15
네오뉴트라,[네오뉴트라(주)] 임상통계 연구원  정규직(신입 · 경력) 모집,신입·경력1년↑대졸↑정규직서울 종로구D-15
㈜맥스피아,00 보증보험 차세대 시스템 고도화 사업,경력6년↑초대졸↑정규직 외서울 종로구D-10
㈜요즘컴퍼니,신규 모바일 플랫폼 서비스기획(백엔드기획),경력8년↑학력무관정규직서울 중구상시채용
㈜요즘컴퍼니,신규 모바일 플랫폼 서비스기획(선임연구원급),경력3년↑학력무관정규직서울 중구상시채용
㈜요즘컴퍼니,신규 모바일 플랫폼 서비스기획(책임연구원급),경력8년↑학력무관정규직서울 중구상시채용
㈜하쿠호도제일,하쿠호도제일 데이터분석가 팀장급 채용,경력6년↑대졸↑정규직서울 마포구D-3
㈜퍼즐데이터,데이터분석가 채용(신입/경력),신입·경력대졸↑정규직서울 강남구D-24
㈜에비드넷,의료 데이터분석가 PM팀원,경력2년↑대졸↑정규직서울 강남구D-23
㈜온택트헬스,데이터분석가 채용,경력무관석사↑정규직 외서울 서대문구D-16
넛지헬스케어㈜,[캐시워크] 데이터분석가 - 석사/박사,경력무관석사↑정규직서울 강남구D-26
에스씨301의원,[SC301의원 삼성동/코엑스] 데이터분석가 채용,신입·경력석사↑정규직서울 강남구D-15
㈜이엠넷,㈜이엠넷 디지털마케팅 AE 신입/경력 채용 [서울본사],신입·경력2년↑대졸↑정규직서울 구로구D-18
아이닉,[아이닉] 마케팅/디자인 각 부문별 경력직 인재 추가채용,경력3년↑초대졸↑정규직경기 안양시D-45
㈜경복궁면세점,"[경복궁면세점] 인천공항 직원 채용(영업관리, 물류관리, 상품기획 MD)",신입·경력1년↑학력무관정규직인천 중구D-30
㈜경복궁면세점,"[경복궁면세점] 청주공항 직원 채용(영업판매, 영업물류)",신입·경력1년↑학력무관정규직충북 청주시D-30
㈜경복궁면세점,"[경복궁면세점] 김해공항 직원 채용(영업판매, 물류관리)",신입·경력1년↑학력무관정규직부산 강서구D-30
닥터블릿헬스케어㈜,[홈페이지지원] 닥터블릿 헬스케어(주) 각부문별 하반기 채용,경력1년↑고졸↑계약직서울 성동구D-16
아이비케이신용정보㈜,2024년 4차 IBK신용정보(주) NPL 채권관리 전문(계약) 인력 채용 공고,경력1년↑학력무관계약직서울 영등포구 외D-14
㈜이투마스,[이투마스] 국내/일본 법인 각 부문별 채용(사세 확장).,경력3년↑학력무관정규직서울 강서구 외D-23
신한라이프생명보험㈜,"대기업 채용담당자 채용(학력,스펙x)",신입·경력학력무관위촉직/개인사업자서울 강남구 외D-15
㈜하이브,[HYBE HBS] 정산관리 (장애인/보훈 대상자 특별전형),경력2년↑초대졸↑계약직서울 용산구D-30
교원그룹,[교원그룹] 경영관리(관리회계) 신입직 채용,신입대졸↑정규직서울 중구D-11
교보증권㈜,[교보증권 디지털솔루션부] 경력직 채용,경력5년↑대졸↑계약직서울 영등포구 외D-14
우인화학㈜,우인화학(주) 온라인영업 경력자 채용,경력8년↑초대졸↑정규직서울 중구D-59
㈜인라이플,[주4.5일근무] 온라인 광고 영업 담당자,신입·경력1년↑학력무관정규직서울 구로구 외D-29
㈜야놀자,Business Strategy Specialist - 모텔 사업전략,경력5년↑학력무관정규직서울 강남구D-59
사회복지법인 밀알복지재단,[재공고][사회복지법인 밀알복지재단] 후원협력실 협력2팀(통합앱) 직원 채용공고,경력3년↑학력무관정규직서울 강남구D-14
㈜인라이플,[주4.5일근무] 온라인 광고/매체 운영(Admin) 담당자 채용,경력1년↑학력무관정규직서울 구로구 외D-28
경북바이오산업연구원,(재)경북바이오산업연구원 2024년 제2차 직원 채용 재공고,경력15년↑대졸↑계약직경북 안동시D-9
㈜코리아인,[영등포구/통계 및 데이터분석 관련전공] 통계분석 담당자 채용,경력무관대졸↑계약직서울 영등포구 외D-3
오픈갤러리,[오픈갤러리] 경력/리드 마케터 채용,경력2년↑초대졸↑정규직서울 성동구D-2
